frame,t_ms,frame_ms,process_ms,physics_ms,live_swarm
0,0.85,6.896,9.015,0.452,8734
1,7.41,6.896,9.015,0.452,8700
2,14.57,6.896,9.015,0.452,8661
3,21.31,6.896,9.015,0.452,8655
4,28.43,6.896,9.015,0.452,8682
5,34.93,6.896,9.015,0.452,8710
6,42.35,6.896,9.015,0.452,8699
7,49.05,6.896,9.015,0.452,8658
8,55.77,6.896,9.015,0.452,8626
9,62.94,6.896,9.015,0.452,8593
10,69.43,6.896,9.015,0.452,8549
11,76.69,6.896,9.015,0.452,8559
12,83.23,6.896,9.015,0.452,8587
13,90.26,6.896,9.015,0.452,8615
14,97.31,6.896,9.015,0.452,8586
15,104.12,6.896,9.015,0.452,8535
16,111.07,6.896,9.015,0.452,8490
17,117.76,6.896,9.015,0.452,8441
18,124.67,6.896,9.015,0.452,8404
19,132.04,6.896,9.015,0.452,8413
20,138.50,6.896,9.015,0.452,8441
21,146.23,6.896,9.015,0.452,8468
22,152.35,6.896,9.015,0.452,8435
23,159.24,6.896,9.015,0.452,8403
24,166.42,6.896,9.015,0.452,8360
25,173.09,6.896,9.015,0.452,8310
26,180.12,6.896,9.015,0.452,8261
27,186.78,6.896,9.015,0.452,8289
28,194.17,6.896,9.015,0.452,8316
29,200.59,6.896,9.015,0.452,8342
30,207.57,6.896,9.015,0.452,8292
31,214.80,6.896,9.015,0.452,8241
32,221.37,6.896,9.015,0.452,8196
33,228.53,6.896,9.015,0.452,8159
34,235.24,6.896,9.015,0.452,8133
35,242.10,6.896,9.015,0.452,8161
36,249.49,6.896,9.015,0.452,8188
37,255.85,6.896,9.015,0.452,8197
38,263.16,6.896,9.015,0.452,8147
39,269.61,6.896,9.015,0.452,8106
40,276.76,6.896,9.015,0.452,8055
41,283.43,6.896,9.015,0.452,8017
42,290.25,6.896,9.015,0.452,8000
43,297.61,6.896,9.015,0.452,8027
44,304.05,6.896,9.015,0.452,8055
45,311.36,6.896,9.015,0.452,8055
46,317.90,6.896,9.015,0.452,8017
47,324.82,6.896,9.015,0.452,7986
48,332.17,6.896,9.015,0.452,7948
49,338.64,6.896,9.015,0.452,7909
50,345.79,6.896,9.015,0.452,7898
51,352.77,6.896,9.015,0.452,7926
52,359.30,6.896,9.015,0.452,7953
53,366.40,6.896,9.015,0.452,7944
54,373.17,6.896,9.015,0.452,7895
55,380.43,6.896,9.015,0.452,7853
56,386.88,6.896,9.015,0.452,7807
57,394.05,6.896,9.015,0.452,7751
58,400.67,6.896,9.015,0.452,7759
59,407.52,6.896,9.015,0.452,7787
60,414.73,6.896,9.015,0.452,7814
61,421.43,6.896,9.015,0.452,7784
62,428.64,6.896,9.015,0.452,7740
63,435.30,6.896,9.015,0.452,7706
64,442.14,6.896,9.015,0.452,7651
65,449.33,6.896,9.015,0.452,7609
66,456.44,6.896,9.015,0.452,7635
67,463.01,6.896,9.015,0.452,7662
68,469.77,6.896,9.015,0.452,7690
69,477.05,6.896,9.015,0.452,7653
70,483.65,6.896,9.015,0.452,7609
71,490.42,6.896,9.015,0.452,7587
72,497.50,6.896,9.015,0.452,7546
73,504.29,6.896,9.015,0.452,7502
74,511.28,6.896,9.015,0.452,7529
75,518.05,6.896,9.015,0.452,7557
76,525.02,6.896,9.015,0.452,7578
77,532.21,6.896,9.015,0.452,7537
78,538.72,6.896,9.015,0.452,7505
79,545.83,6.896,9.015,0.452,7460
80,552.48,6.896,9.015,0.452,7407
81,560.11,6.896,9.015,0.452,7393
82,567.39,6.896,9.015,0.452,7421
83,573.15,6.896,9.015,0.452,7449
84,580.43,6.896,9.015,0.452,7446
85,587.07,6.896,9.015,0.452,7413
86,594.14,6.896,9.015,0.452,7374
87,600.79,6.896,9.015,0.452,7336
88,607.78,6.896,9.015,0.452,7278
89,614.84,6.896,9.015,0.452,7261
90,621.47,6.896,9.015,0.452,7289
91,628.71,6.896,9.015,0.452,7316
92,635.29,6.896,9.015,0.452,7302
93,642.25,6.896,9.015,0.452,7266
94,649.47,6.896,9.015,0.452,7234
95,656.02,6.896,9.015,0.452,7188
96,663.59,6.896,9.015,0.452,7154
97,669.72,6.896,9.015,0.452,7161
98,677.09,6.896,9.015,0.452,7188
99,683.65,6.896,9.015,0.452,7216
100,690.59,6.896,9.015,0.452,7184
101,697.52,6.896,9.015,0.452,7139
102,704.43,6.896,9.015,0.452,7100
103,711.41,6.896,9.015,0.452,7040
104,718.24,6.896,9.015,0.452,7003
105,725.03,6.896,9.015,0.452,7025
106,732.40,6.896,9.015,0.452,7053
107,738.75,6.896,9.015,0.452,7081
108,746.25,6.896,9.015,0.452,7052
109,752.78,6.896,9.015,0.452,7014
110,759.52,6.896,5.142,0.614,6963
111,767.28,6.896,5.142,0.614,6920
112,773.33,6.896,5.142,0.614,6886
113,780.82,6.896,5.142,0.614,6914
114,787.07,6.896,5.142,0.614,6942
115,794.12,6.896,5.142,0.614,6962
116,800.88,6.896,5.142,0.614,6926
117,807.72,6.896,5.142,0.614,6881
118,814.89,6.896,5.142,0.614,6827
119,821.60,6.896,5.142,0.614,6788
120,828.81,6.896,5.142,0.614,6767
121,835.40,6.896,5.142,0.614,6795
122,842.40,6.896,5.142,0.614,6822
123,849.39,6.896,5.142,0.614,6829
124,856.19,6.896,5.142,0.614,6788
125,863.39,6.896,5.142,0.614,6755
126,870.40,6.896,5.142,0.614,6712
127,877.04,6.896,5.142,0.614,6685
128,883.74,6.896,5.142,0.614,6670
129,890.61,6.896,5.142,0.614,6697
130,897.66,6.896,5.142,0.614,6725
131,904.39,6.896,5.142,0.614,6722
132,911.89,6.896,5.142,0.614,6697
133,918.26,6.896,5.142,0.614,6643
134,925.12,6.896,5.142,0.614,6598
135,932.28,6.896,5.142,0.614,6565
136,938.80,6.896,5.142,0.614,6561
137,946.01,6.896,5.142,0.614,6589
138,952.56,6.896,5.142,0.614,6617
139,959.59,6.896,5.142,0.614,6596
140,966.73,6.896,5.142,0.614,6546
141,973.89,6.896,5.142,0.614,6509
142,980.67,6.896,5.142,0.614,6480
143,987.24,6.896,5.142,0.614,6442
144,994.45,6.896,5.142,0.614,6453
145,1001.04,6.896,5.142,0.614,6481
146,1007.85,6.896,5.142,0.614,6508
147,1015.10,6.896,5.142,0.614,6469
148,1021.67,6.896,5.142,0.614,6428
149,1028.76,6.896,5.142,0.614,6416
150,1035.54,6.896,5.142,0.614,6400
151,1042.48,6.896,5.142,0.614,6369
152,1049.56,6.896,5.142,0.614,6397
153,1056.18,6.896,5.142,0.614,6424
154,1063.33,6.896,5.142,0.614,6451
155,1070.10,6.896,5.142,0.614,6475
156,1077.62,6.896,5.142,0.614,6502
157,1083.90,6.896,5.142,0.614,6530
158,1090.69,6.896,5.142,0.614,6557
159,1097.79,6.896,5.142,0.614,6585
160,1104.51,6.896,5.142,0.614,6613
161,1111.64,6.896,5.142,0.614,6640
162,1118.30,6.896,5.142,0.614,6668
163,1125.28,6.896,5.142,0.614,6695
164,1132.55,6.896,5.142,0.614,6723
165,1138.91,6.896,5.142,0.614,6750
166,1146.02,6.896,5.142,0.614,6778
167,1152.85,6.896,5.142,0.614,6806
